DATETIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-01-01,42280.234375,44175.4375,42214.976563,44167.332031,18426978443
2024-01-02,44187.140625,45899.707031,44176.949219,44957.96875,39335274536
2024-01-03,44961.601563,45503.242188,40813.535156,42848.175781,46342323118
2024-01-04,42855.816406,44770.023438,42675.175781,44179.921875,30448091210
2024-01-05,44192.980469,44353.285156,42784.71875,44162.691406,32336029347
2024-01-06,44178.953125,44227.632813,43475.15625,43989.195313,16092503468
2024-01-07,43998.464844,44495.570313,43662.230469,43943.097656,19330573863
2024-01-08,43948.707031,47218.0,43244.082031,46970.503906,42746192015
2024-01-09,46987.640625,47893.699219,45244.714844,46139.730469,39821290992
2024-01-10,46121.539063,47647.222656,44483.152344,46627.777344,50114613298
2024-01-11,46656.074219,48969.371094,45678.644531,46368.585938,45833734549
2024-01-12,46354.792969,46498.136719,41903.769531,42853.167969,43332698900
2024-01-13,42799.445313,43234.660156,42464.144531,42842.382813,20601860469
2024-01-14,42842.261719,43065.597656,41724.613281,41796.269531,17521429522
2024-01-15,41715.066406,43319.722656,41705.417969,42511.96875,22320220558
2024-01-16,42499.335938,43566.273438,42085.996094,43154.945313,24062872740
2024-01-17,43132.101563,43189.890625,42189.308594,42742.652344,20851232595
2024-01-18,42742.3125,42876.347656,40631.171875,41262.058594,25218357242
2024-01-19,41278.460938,42134.160156,40297.457031,41618.40625,25752407154
2024-01-20,41624.589844,41877.894531,41446.824219,41665.585938,11586690904
2024-01-21,41671.488281,41855.367188,41497.007813,41545.785156,9344043642
2024-01-22,41553.652344,41651.207031,39450.117188,39507.367188,31338708143
2024-01-23,39518.714844,40127.351563,38521.894531,39845.550781,29244553045
2024-01-24,39877.59375,40483.785156,39508.796875,40077.074219,22359526178
2024-01-25,40075.550781,40254.480469,39545.664063,39933.808594,18491782013
2024-01-26,39936.816406,42209.386719,39825.691406,41816.871094,25598119893
2024-01-27,41815.625,42195.632813,41431.28125,42120.054688,11422941934
2024-01-28,42126.125,42797.175781,41696.910156,42035.59375,16858971687
2024-01-29,42030.914063,43305.867188,41818.332031,43288.246094,20668476578
2024-01-30,43300.226563,43838.945313,42711.371094,42952.609375,23842814518
2024-01-31,42946.25,43717.40625,42298.945313,42582.605469,24673628793
2024-02-01,42569.761719,43243.167969,41879.191406,43075.773438,21423953779
2024-02-02,43077.640625,43422.488281,42584.335938,43185.859375,18603843039
2024-02-03,43184.964844,43359.941406,42890.808594,42992.25,11169245236
2024-02-04,42994.941406,43097.644531,42374.832031,42583.582031,14802225490
2024-02-05,42577.621094,43494.25,42264.816406,42658.667969,18715487317
2024-02-06,42657.390625,43344.148438,42529.019531,43084.671875,16798476726
2024-02-07,43090.019531,44341.949219,42775.957031,44318.222656,21126587775
2024-02-08,44332.125,45575.839844,44332.125,45301.566406,26154524080
2024-02-09,45297.382813,48152.496094,45260.824219,47147.199219,39316770844
2024-02-10,47153.527344,48146.171875,46905.320313,47771.277344,16398681570
2024-02-11,47768.96875,48535.9375,47617.40625,48293.917969,19315867136
2024-02-12,48296.386719,50280.476563,47745.761719,49958.222656,34511985805
2024-02-13,49941.359375,50358.390625,48406.496094,49742.441406,35593051468
2024-02-14,49733.445313,52021.371094,49296.832031,51826.695313,39105608050
2024-02-15,51836.785156,52820.066406,51371.628906,51938.554688,38564360533
2024-02-16,51937.726563,52537.96875,51641.367188,52160.203125,28180567298
2024-02-17,52161.675781,52191.914063,50669.667969,51662.996094,20009091006
2024-02-18,51661.96875,52356.964844,51233.707031,52122.546875,17595377311
2024-02-19,52134.8125,52483.324219,51711.820313,51779.144531,21362184346
2024-02-20,51777.726563,52945.050781,50792.3125,52284.875,33353758256
2024-02-21,52273.535156,52368.816406,50671.757813,51839.179688,28624907020
2024-02-22,51854.644531,52009.613281,50926.292969,51304.972656,25413900611
2024-02-23,51283.90625,51497.933594,50561.777344,50731.949219,21427078270
2024-02-24,50736.371094,51684.195313,50585.445313,51571.101563,15174077879
2024-02-25,51565.214844,51950.027344,51306.171875,51733.238281,15413239245
2024-02-26,51730.539063,54938.175781,50931.03125,54522.402344,34074411896
2024-02-27,54519.363281,57537.839844,54484.199219,57085.371094,49756832031
2024-02-28,57071.097656,63913.132813,56738.425781,62504.789063,83239156760
2024-02-29,62499.183594,63585.644531,60498.730469,61198.382813,65496611844
2024-03-01,61168.0625,63155.101563,60802.527344,62440.632813,40186368423
